Agency,CN ID,SON ID,Supplier Name,Supplier ABN,Description,Category,Agency Ref. ID,Publish Date,Start Date,End Date,Value (AUD)
Department of Human Services,CN3478492,SON3460470,M & A Investigations,53531466394,Optical Surveillance Services,Security surveillance and detection,D326023850,9-Jan-18,1-Jan-18,30-Jun-18,"33,000.00"
Department of Human Services,CN3478493,SON3413842,Recon Solutions Pty Ltd,30161525613,Business Services,Computer services,D325023946,9-Jan-18,18-Dec-17,30-Jun-18,"164,846.00"
Department of Human Services,CN3478494,SON2457481,Ernst & Young,75288172749,Business Performance Improvement,Corporate objectives or policy development,D311023846,9-Jan-18,11-Dec-17,30-Jun-18,"954,257.83"
Department of Human Services,CN3478495,SON3403954,Biometix Pty Ltd,28084921933,Data Iteroperability Licences,Components for information technology or broadcasting or telecommunications,D310023515,9-Jan-18,3-Oct-17,31-Dec-17,"74,360.00"
Department of Human Services,CN3478496,SON3395214,Quantum Technology Pty Ltd,29001381728,Assistive Technology Software,Software maintenance and support,D302023788,9-Jan-18,13-Nov-17,30-Jun-18,"28,873.35"
Department of Human Services,CN3478497,SON3413051,Capgemini Australia Pty Ltd,11092284314,Project Management Services,Software or hardware engineering,D300023883,9-Jan-18,12-Dec-17,30-Jun-18,"471,900.00"
Department of Human Services,CN3478498,SON1834831,DFP Recruitment Services Pty Ltd,66394749447,Labour Hire,Personnel recruitment,D292023980,9-Jan-18,8-Jan-18,31-May-18,"43,023.75"
Department of Human Services,CN3478499,SON1834831,Hays Specialist Recruitment Aust PL,47001407281,Labour Hire,Personnel recruitment,D292023929,9-Jan-18,8-Jan-18,30-Jun-18,"121,000.00"
Department of Human Services,CN3478500,SON1834831,Hays Specialist Recruitment Aust PL,47001407281,Labour Hire,Personnel recruitment,D292023907,9-Jan-18,15-Jan-18,30-Jun-18,"187,000.00"
Department of Human Services,CN3478501,SON1834831,Hays Specialist Recruitment Aust PL,47001407281,Labour Hire,Personnel recruitment,D292023903,9-Jan-18,15-Jan-18,30-Jun-18,"71,854.20"
Department of Human Services,CN3478502,SON1834831,Hays Specialist Recruitment Aust PL,47001407281,Labour Hire,Personnel recruitment,D292023884,9-Jan-18,12-Dec-17,31-Mar-18,"58,736.49"
Department of Human Services,CN3478503,SON1834831,McArthur (Qld) Pty Ltd,51078078341,Labour Hire,Personnel recruitment,D292023872,9-Jan-18,10-Dec-17,30-Jun-18,"50,000.00"
Department of Human Services,CN3478504,SON1834831,Hays Specialist Recruitment Aust PL,47001407281,Labour Hire,Personnel recruitment,D292023778,9-Jan-18,6-Dec-17,31-Jul-18,"75,913.50"
Department of Human Services,CN3478505,SON1834831,Hays Specialist Recruitment Aust PL,47001407281,Labour Hire,Personnel recruitment,D292023679,9-Jan-18,4-Jan-18,29-Jun-18,"88,278.00"
Department of Human Services,CN3478506,SON3366191,Alertforce Pty Ltd,78122392778,Training Services,Education and Training Services,D290023859,9-Jan-18,1-Jan-18,30-Jun-18,"105,138.00"
Department of Human Services,CN3478507,SON2917812,Horizon One Recruitment Pty Ltd,98129885838,Recruitment Services,Personnel recruitment,D285023893,9-Jan-18,15-Dec-17,14-Jun-18,"140,000.00"
Department of Human Services,CN3478508,SON2917812,Hudson Global Resources,21002888762,Recruitment Services,Personnel recruitment,D285023676,9-Jan-18,27-Nov-17,30-Jun-18,"408,064.80"
Department of Human Services,CN3478509,SON1700081,Yellow Edge Pty Ltd,25099253255,Business Services,Management advisory services,D281023934,9-Jan-18,9-Jan-18,31-Mar-18,"75,000.00"
Department of Human Services,CN3478510,SON1700081,Nous Group Pty Ltd,66086210344,Business Services,Management advisory services,D281023932,9-Jan-18,21-Dec-17,19-Feb-18,"326,480.00"
Department of Human Services,CN3478511,SON1700081,PricewaterhouseCoopers Consulting,20607773295,Assurance Services,Management advisory services,D281023931,9-Jan-18,1-Jan-18,30-Jun-18,"199,520.84"
Department of Human Services,CN3478512,SON1700081,Grosvenor Management Consulting P/L,47105237590,Business Support Services,Management advisory services,D281023875,9-Jan-18,10-Dec-17,30-Jun-18,"472,907.21"
Department of Human Services,CN3478513,SON1700081,Deloitte Touche Tohmatsu,74490121060,Business Services,Management advisory services,D281023842,9-Jan-18,4-Dec-17,31-May-18,"421,388.79"
Department of Human Services,CN3478514,SON1700081,Strategic Leadership Pty Ltd,53108006186,Assurance Services,Management advisory services,D281023816,9-Jan-18,4-Dec-17,22-Dec-17,"36,410.00"
Department of Human Services,CN3478515,SON1700081,Callida Consulting,40154007664,Debt Management Improvement Programme,Management advisory services,D281023815,9-Jan-18,10-Apr-17,30-Jun-18,"666,989.40"
Department of Human Services,CN3478516,SON1700081,McGrathNicol Advisory Partnership,34824776937,Review Budget Statements,Management advisory services,D281023795,9-Jan-18,30-Nov-17,30-Jun-18,"181,500.00"
Department of Human Services,CN3478517,SON1700081,Yellow Edge Pty Ltd,25099253255,Assurance Services,Management advisory services,D281023790,9-Jan-18,30-Nov-17,20-Jan-18,"77,000.00"
Department of Human Services,CN3478518,SON1700081,Blue Visions Management Pty Ltd,93095779972,Executive Coaching,Management advisory services,D281023744,9-Jan-18,22-Nov-17,30-Jun-18,"280,500.00"
Department of Human Services,CN3478519,SON3305648,PricewaterhouseCoopers,52780433757,Business Advisory Services,Management advisory services,D270023905,9-Jan-18,19-Dec-17,9-Mar-18,"197,052.00"
Department of Human Services,CN3478520,SON3326360,IBM Australia Ltd,79000024733,ICT Software Licences,Communications Devices and Accessories,D269023867,9-Jan-18,10-Nov-17,10-Nov-18,"230,782.07"
Department of Human Services,CN3478521,SON3326360,IBM Australia Ltd,79000024733,ICT Software Services,Communications Devices and Accessories,D269023852,9-Jan-18,10-Nov-17,30-Jun-18,"262,094.80"
Department of Human Services,CN3478522,,LawyerBank,23159266583,Legal Services,Legal services,D268023868,9-Jan-18,5-Dec-17,29-Jun-18,"217,800.00"
Department of Human Services,CN3478523,,Minter Ellison Lawyers,91556716819,Legal Services,Legal services,D268023853,9-Jan-18,27-Nov-17,27-Feb-18,"40,000.00"
Department of Human Services,CN3478524,,Clayton UTZ,35740217343,Legal Services,Legal services,D268023802,9-Jan-18,23-Nov-17,30-Jun-18,"28,000.00"
Department of Human Services,CN3478525,SON3295723,Acer Computer Australia Pty Ltd,78003872768,IT Hardware,Computer Equipment and Accessories,D267023957,9-Jan-18,7-Dec-17,7-Dec-21,"786,549.50"
Department of Human Services,CN3478526,SON2739611,Ernst & Young,75288172749,Audit Services,Audit services,D235023914,9-Jan-18,18-Dec-17,30-Jun-18,"15,187.50"
Department of Human Services,CN3478527,SON2739611,Ernst & Young,75288172749,Audit Services,Audit services,D235023856,9-Jan-18,8-Dec-17,29-Jun-18,"86,145.00"
Department of Human Services,CN3478528,SON2739611,Advizon Consulting,15228551636,Audit Services,Audit services,D235023854,9-Jan-18,8-Dec-17,29-Jun-18,"49,245.00"
Department of Human Services,CN3478529,SON2501421,DXC Technology,18008476944,Information Technology Services,Components for information technology or broadcasting or telecommunications,D229023975,9-Jan-18,1-Jan-18,31-Dec-18,"1,478,243.84"
Department of Human Services,CN3478530,SON2501421,CTO Group Pty Ltd,32867906135,Information Technology Services,Components for information technology or broadcasting or telecommunications,D229023971,9-Jan-18,15-Jan-18,31-May-18,"286,000.00"
Department of Human Services,CN3478531,SON2501421,Aurec Pty Ltd,60103121464,Information Technology Services,Components for information technology or broadcasting or telecommunications,D229023897,9-Jan-18,1-Jan-18,31-Dec-18,"443,300.00"
Department of Human Services,CN3478532,SON2501421,SMS Consulting Group Limited,17006515028,Information Technology Services,Components for information technology or broadcasting or telecommunications,D229023895,9-Jan-18,15-Jan-18,30-Jun-18,"300,256.00"
Department of Human Services,CN3478533,SON2501421,KPMG,51194660183,Information Technology Services,Components for information technology or broadcasting or telecommunications,D229023892,9-Jan-18,5-Dec-17,30-Jun-18,"554,849.46"
Department of Human Services,CN3478534,SON1515551,Schiavello International Pty Ltd,47093924353,Office Furniture,Office furniture,D205023928,9-Jan-18,18-Dec-17,30-Jun-18,"39,733.56"
Department of Human Services,CN3478535,SON1515551,Schiavello International Pty Ltd,47093924353,Office Furniture,Office furniture,D205023882,9-Jan-18,11-Dec-17,30-Jun-18,"140,468.06"
Department of Human Services,CN3478536,SON1515551,Schiavello International Pty Ltd,47093924353,Office Furniture,Office furniture,D205023862,9-Jan-18,6-Dec-17,30-Jun-18,"16,566.11"
Department of Human Services,CN3478537,SON838951,Oracle Corporation Australia P/L,80003074468,Software Training,Software,D198023915,9-Jan-18,14-Dec-17,13-Dec-18,"330,687.64"
Department of Human Services,CN3478538,SON1142512,SG Fleet Australia Pty Limited,15003429356,Leased Vehicles,Vehicle leasing,D194023953,9-Jan-18,7-Jan-18,7-Jan-21,"32,779.36"
Department of Human Services,CN3478539,SON1142512,SG Fleet Australia Pty Limited,15003429356,Leased Vehicles,Vehicle leasing,D194023952,9-Jan-18,12-Jan-18,12-Jan-21,"28,898.56"
Department of Human Services,CN3478540,,Telstra,33051775556,Telecommunication Services,Telephony equipment,D174023950,9-Jan-18,4-Dec-17,30-Jun-18,"46,461.49"
Department of Human Services,CN3478541,,Telstra,33051775556,Telecommunication Services,Management support services,D174023894,9-Jan-18,29-Nov-17,30-Jun-18,"32,861.40"
Department of Human Services,CN3478542,,Telstra,33051775556,Telecommunication Services,Software,D174023886,9-Jan-18,29-Nov-17,16-Mar-18,"104,322.08"
Department of Human Services,CN3478543,,Telstra,33051775556,Telecommunication Services,Software,D174023876,9-Jan-18,5-Dec-17,24-Mar-18,"46,678.53"
Department of Human Services,CN3478544,,Telstra,33051775556,Telecommunication Services,Phone and video conference equipment and hardware and controllers,D174023861,9-Jan-18,29-Nov-17,30-Jun-20,"99,981.73"
Department of Human Services,CN3478545,,Telstra,33051775556,Telecommunication Services,Telephony equipment,D174023784,9-Jan-18,16-Nov-17,22-Dec-17,"39,311.67"
Department of Human Services,CN3478546,SON867801,Reason Group Pt Ltd,34128711348,IT Specialist Services,Computer services,D172023986,9-Jan-18,15-Jan-18,31-Dec-18,"457,600.00"
Department of Human Services,CN3478547,SON867801,Thinkstream,65718669825,IT Specialist Services,Computer services,D172023970,9-Jan-18,15-Jan-18,31-Jan-19,"377,520.00"
Department of Human Services,CN3478548,SON867801,Thinkstream,65718669825,IT Specialist Services,Computer services,D172023969,9-Jan-18,15-Jan-18,31-Jan-19,"377,520.00"
Department of Human Services,CN3478550,SON867801,Capgemini Australia Pty Ltd,11092284314,IT Specialist Services,Computer services,D172023968,9-Jan-18,1-Jan-18,31-Dec-18,"254,540.00"
Department of Human Services,CN3478551,SON867801,Capgemini Australia Pty Ltd,11092284314,IT Specialist Services,Computer services,D172023967,9-Jan-18,1-Jan-18,31-Dec-18,"254,540.00"
Department of Human Services,CN3478552,SON867801,Capgemini Australia Pty Ltd,11092284314,IT Specialist Services,Computer services,D172023966,9-Jan-18,1-Jan-18,31-Dec-18,"400,400.00"
Department of Human Services,CN3478553,SON867801,Fujitsu Australia Limited,19001011427,IT Specialist Services,Computer services,D172023965,9-Jan-18,1-Jan-18,31-Dec-18,"300,872.00"
Department of Human Services,CN3478554,SON867801,Peoplebank Australia Ltd,42003995748,IT Specialist Services,Computer services,D172023964,9-Jan-18,15-Jan-18,30-Jun-18,"187,440.00"
Department of Human Services,CN3478555,SON867801,Talent International (ACT) Pty Ltd,95121819305,IT Specialist Services,Computer services,D172023963,9-Jan-18,1-Jan-18,31-Dec-18,"457,600.00"
Department of Human Services,CN3478556,SON867801,PAXUS Australia Pty Ltd,35004609616,IT Specialist Services,Computer services,D172023949,9-Jan-18,1-Jan-18,31-Dec-18,"423,280.00"
Department of Human Services,CN3478557,SON867801,PAXUS Australia Pty Ltd,35004609616,IT Specialist Services,Computer services,D172023948,9-Jan-18,1-Jan-18,31-Dec-18,"423,280.00"
Department of Human Services,CN3478558,SON867801,Dialog Pty Ltd,16010089175,IT Specialist Services,Computer services,D172023947,9-Jan-18,1-Jan-18,31-Dec-18,"200,200.00"
Department of Human Services,CN3478559,SON867801,Finite Group APAC Pty Ltd,43085406300,IT Specialist Services,Computer services,D172023944,9-Jan-18,1-Jan-18,31-Dec-18,"248,248.00"
Department of Human Services,CN3478560,SON867801,UXC Consulting Pty Ltd,83121920938,IT Specialist Services,Computer services,D172023943,9-Jan-18,1-Jan-18,31-Dec-18,"297,440.00"
Department of Human Services,CN3478561,SON867801,UXC Consulting Pty Ltd,83121920938,IT Specialist Services,Computer services,D172023942,9-Jan-18,1-Jan-18,31-Dec-18,"281,424.00"
Department of Human Services,CN3478562,SON867801,UXC Consulting Pty Ltd,83121920938,IT Specialist Services,Computer services,D172023941,9-Jan-18,1-Jan-18,31-Dec-18,"279,136.00"
Department of Human Services,CN3478563,SON867801,Capgemini Australia Pty Ltd,11092284314,IT Specialist Services,Computer services,D172023940,9-Jan-18,1-Jan-18,31-Dec-18,"254,540.00"
Department of Human Services,CN3478564,SON867801,Southern Cross Computing Pty Ltd,71008626131,IT Specialist Services,Computer services,D172023939,9-Jan-18,15-Jan-18,14-Jan-19,"443,300.00"
Department of Human Services,CN3478565,SON867801,Capgemini Australia Pty Ltd,11092284314,IT Specialist Services,Computer services,D172023938,9-Jan-18,1-Jan-18,31-Dec-18,"400,400.00"
Department of Human Services,CN3478566,SON867801,Canberra Consulting,57139224436,IT Specialist Services,Computer services,D172023937,9-Jan-18,1-Jan-18,31-Dec-18,"290,576.00"
Department of Human Services,CN3478567,SON867801,Ajilon Pty Ltd,14007145637,IT Specialist Services,Computer services,D172023936,9-Jan-18,1-Dec-17,31-Aug-18,"281,424.00"
Department of Human Services,CN3478568,SON867801,Ajilon Pty Ltd,14007145637,IT Specialist Services,Computer services,D172023910,9-Jan-18,15-Jan-18,31-Jan-19,"366,080.00"
Department of Human Services,CN3478569,SON867801,Ajilon Pty Ltd,14007145637,IT Specialist Services,Computer services,D172023908,9-Jan-18,11-Dec-17,30-Jun-18,"183,040.00"
Department of Human Services,CN3478570,SON867801,Compas Pty Ltd,90008615745,IT Specialist Services,Computer services,D172023898,9-Jan-18,19-Dec-17,18-Dec-18,"370,656.00"
Department of Human Services,CN3478571,SON867801,Finite Group APAC Pty Ltd,43085406300,IT Specialist Services,Computer services,D172023896,9-Jan-18,5-Dec-17,3-Dec-18,"320,430.00"
Department of Human Services,CN3478572,SON867801,KPMG,51194660183,IT Specialist Services,Computer services,D172023887,9-Jan-18,11-Dec-17,30-Jun-18,"187,000.00"
Department of Human Services,CN3478573,SON867801,Wipro Limited,18093961936,IT Specialist Services,Computer services,D172023881,9-Jan-18,1-Dec-17,30-Nov-18,"394,108.00"
Department of Human Services,CN3478574,SON867801,Wipro Limited,18093961936,IT Specialist Services,Computer services,D172023880,9-Jan-18,1-Dec-17,30-Nov-18,"347,490.00"
Department of Human Services,CN3478575,SON867801,Wipro Limited,18093961936,IT Specialist Services,Computer services,D172023879,9-Jan-18,1-Dec-17,30-Nov-18,"401,687.00"
Department of Human Services,CN3478576,SON867801,UXC Consulting Pty Ltd,83121920938,IT Specialist Services,Computer services,D172023848,9-Jan-18,1-Dec-17,30-Nov-18,"443,300.00"
Department of Human Services,CN3478577,SON867801,Dialog Pty Ltd,16010089175,IT Specialist Services,Computer services,D172023847,9-Jan-18,1-Dec-17,30-Nov-18,"412,500.00"
Department of Human Services,CN3478578,SON867801,Fujitsu Australia Limited,19001011427,IT Specialist Services,Computer services,D172023831,9-Jan-18,1-Dec-17,30-Nov-18,"483,340.00"
Department of Human Services,CN3478579,SON867801,Reason Group Pt Ltd,34128711348,IT Specialist Services,Computer services,D172023807,9-Jan-18,1-Dec-17,30-Nov-18,"514,800.00"
Department of Human Services,CN3478580,,Enterprise Management Group Pty Ltd,54123371022,Agent Services,Administrative agencies services,D157023900,9-Jan-18,11-Dec-17,30-Jun-18,"44,922.36"
Department of Human Services,CN3478581,,Cabcharge Australia Pty Ltd,99001958390,Taxi Services,Taxicab services,D121018681,9-Jan-18,15-Jun-16,30-Jun-18,"17,300.00"
Department of Human Services,CN3478582,SON112,Dimension Data Australia Pty Ltd,65003371239,Wireless Access Points,Computer Equipment and Accessories,D078023951,9-Jan-18,1-Oct-17,30-Sep-18,"29,127.82"
Department of Human Services,CN3478583,SON112,Dimension Data Australia Pty Ltd,65003371239,ICT Hardware and Software Licences,Computer Equipment and Accessories,D078023916,9-Jan-18,28-Nov-17,30-Jun-18,"59,400.13"
Department of Human Services,CN3478584,SON399069,SAS INSTITUTE AUSTRALIA PTY LTD,13002287247,Software Licences,Software,D074023804,9-Jan-18,30-Jun-17,29-Sep-18,"4,072,912.80"
Department of Human Services,CN3478585,,AgileCraft,90615451940,Training Services,Education and Training Services,C000003469,9-Jan-18,18-Dec-17,28-Feb-18,"25,410.00"
Department of Human Services,CN3478587,,Willyama Indigenous ICT Services,21611623575,Willyama Indigenous ICT Services,Maintenance or support fees,C000003468,9-Jan-18,1-Dec-17,30-Jun-18,"330,000.00"
Department of Human Services,CN3478588,,Main Street Developments,13975082102,Property Lease,Lease and rental of property or building,C000003467,9-Jan-18,1-Apr-18,31-Mar-20,"976,938.15"
Department of Human Services,CN3478589,,QF Doors  ATF Garland Discretionary,63355607096,Property Lease,Lease and rental of property or building,C000003466,9-Jan-18,1-Apr-18,31-Mar-19,"47,185.34"
Department of Human Services,CN3478590,,Royce Communications Pty Ltd,91167042408,Communications Services,Business administration services,C000003465,9-Jan-18,13-Dec-17,30-Jun-18,"529,500.00"
Department of Human Services,CN3478591,,Royles Johnson Pty Ltd,47307736316,Business Support Services,Management support services,C000003464,9-Jan-18,12-Feb-18,11-Feb-19,"335,000.00"
Department of Human Services,CN3478592,,Vicinity Real Estate Licence Pty Ltd,39060482635,Property Lease,Lease and rental of property or building,C000003462,9-Jan-18,1-Dec-17,28-Feb-18,"37,475.46"
Department of Human Services,CN3478593,,CURIJO PTY LTD,22609893021,Audit Services,Audit services,C000003460,9-Jan-18,11-Dec-17,29-Jun-18,"45,000.00"
Department of Human Services,CN3478594,,Sailoffice as Trustee for the Newman Superannuation Fund,91437042106,Property Lease,Lease and rental of property or building,C000003459,9-Jan-18,10-Mar-18,9-Mar-21,"976,729.53"
Department of Human Services,CN3478595,,Clarence Property Corporation Limited,67094710942,Property Lease,Lease and rental of property or building,C000003458,9-Jan-18,1-Apr-18,31-Mar-20,"192,942.56"
Department of Human Services,CN3478596,,Sandran,95053945878,Property Lease,Lease and rental of property or building,C000003457,9-Jan-18,10-Dec-17,9-Dec-22,"4,456,185.02"
Department of Human Services,CN3478597,,Vincent Nicole Butcher atf Butcher,42413996467,Property Lease,Lease and rental of property or building,C000003456,9-Jan-18,18-Feb-17,17-Feb-27,"6,886,035.68"
Department of Human Services,CN3478598,,G DEVA & Murvic Pty Ltd,77013528623,Property Lease,Lease and rental of property or building,C000003455,9-Jan-18,2-Mar-18,1-Mar-20,"464,652.53"
Department of Human Services,CN3478599,,JLS Sunshine Pty Ltd,75363178463,Property Lease,Lease and rental of property or building,C000003454,9-Jan-18,30-May-18,29-May-22,"3,388,759.67"
Department of Human Services,CN3478600,,Eaton Industries Pty Ltd,66103014571,IT Servers,Computer Equipment and Accessories,C000003453,9-Jan-18,30-Nov-17,30-Jun-18,"10,440.88"
Department of Human Services,CN3478601,,SAS INSTITUTE AUSTRALIA PTY LTD,13002287247,Training Credits,Education and Training Services,C000003448,9-Jan-18,5-Dec-17,30-Jun-18,"44,990.00"
Department of Human Services,CN3478602,,Auslink Investment Management Ltd,48125737091,Property Lease,Lease and rental of property or building,C000003447,9-Jan-18,4-Mar-18,3-Mar-21,"6,279,338.78"
Department of Human Services,CN3478603,,Keylink Technology Australia P/L,79012477478,IT Servers,Software maintenance and support,C000003445,9-Jan-18,1-Dec-17,30-Nov-18,"249,980.50"
Department of Human Services,CN3478604,,CURIJO PTY LTD,22609893021,Audit Services,Audit services,C000003444,9-Jan-18,29-Nov-17,29-Jun-18,"38,335.00"
Department of Human Services,CN3478605,,Cherbourg Aboriginal Shire Council,17862722505,Property Lease,Lease and rental of property or building,C000003335,9-Jan-18,1-Apr-17,30-Sep-18,"19,647.45"
Department of Human Services,CN3478606,,Fujitsu Australia Limited,19001011427,Specialised Incident Response Training,Education and Training Services,8100022883,9-Jan-18,4-Dec-17,30-Jun-18,"18,986.78"
Department of Human Services,CN3478607,,Aries Security LLC,ABN Exempt,Training Simulator Support,Education and Training Services,8100022873,9-Jan-18,12-Dec-17,30-Mar-18,"38,461.50"
Department of Human Services,CN3478608,,CIT Solutions Pty Ltd,25008645823,Training Services,Education and Training Services,8100022857,9-Jan-18,2-Jan-18,19-Jul-18,"11,200.00"
Department of Human Services,CN3478609,,David Caple & Associates Pty Ltd,14006231509,Ergonomist,Occupational health or safety services,8100022851,9-Jan-18,16-Oct-17,7-Mar-18,"33,275.00"
Department of Human Services,CN3478610,,Aviva Solutions Inc,ABN Exempt,IT Software Support and Maintenance,Software maintenance and support,8100022841,9-Jan-18,15-Dec-17,14-Dec-18,"43,907.50"
Department of Human Services,CN3478611,,Bowbridge Software Limited,ABN Exempt,Antivirus Software,Software,8100022796,9-Jan-18,27-Nov-17,31-Dec-17,"33,323.04"
Department of Human Services,CN3478612,,Staging Connections Pty Ltd,46006668702,Audio Visual Equipment,Audio visual services,8100022794,9-Jan-18,28-Nov-17,11-Dec-17,"29,592.77"
Department of Human Services,CN3478613,,National Gallery Of Australia,27855975449,Venue Hire,Conference centres,8100022723,9-Jan-18,6-Dec-17,14-Dec-17,"11,910.00"
Department of Human Services,CN3478827,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Fitout Fees,Property management services,D329023596,10-Jan-18,10-Nov-17,16-Apr-18,"711,672.50"
Department of Human Services,CN3478829,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Fees,Property management services,D329023600,10-Jan-18,8-Nov-17,7-Feb-18,"88,000.00"
Department of Human Services,CN3478830,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Fees,Property management services,D329023601,10-Jan-18,8-Nov-17,7-Feb-18,"88,000.00"
Department of Human Services,CN3478831,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Fees,Property management services,D329023602,10-Jan-18,8-Nov-17,7-Feb-18,"88,000.00"
Department of Human Services,CN3478832,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Fees,Property management services,D329023603,10-Jan-18,8-Nov-17,7-Feb-18,"88,000.00"
Department of Human Services,CN3478834,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Fees,Property management services,D329023604,10-Jan-18,8-Nov-17,7-Feb-18,"88,000.00"
Department of Human Services,CN3478835,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Fees,Property management services,D329023605,10-Jan-18,8-Nov-17,7-Feb-18,"88,000.00"
Department of Human Services,CN3478836,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Fees,Property management services,D329023606,10-Jan-18,8-Nov-17,17-Jul-18,"713,116.80"
Department of Human Services,CN3478837,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Management Fees,Property management services,D329023607,10-Jan-18,14-Nov-17,30-Jun-18,"88,000.00"
Department of Human Services,CN3478838,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Management Fees,Property management services,D329023626,10-Jan-18,14-Nov-17,10-Feb-18,"88,000.00"
Department of Human Services,CN3478839,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Management Fees,Property management services,D329023627,10-Jan-18,14-Nov-17,10-Feb-18,"88,000.00"
Department of Human Services,CN3478841,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Fitout Fees,Property management services,D329023628,10-Jan-18,14-Nov-17,30-Jun-18,"400,391.20"
Department of Human Services,CN3478844,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Fitout Fees,Property management services,D329023630,10-Jan-18,14-Nov-17,30-May-18,"438,331.30"
Department of Human Services,CN3478847,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Fitout Fees,Property management services,D329023635,10-Jan-18,14-Nov-17,30-Apr-18,"687,923.50"
Department of Human Services,CN3478848,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Management Fees,Property management services,D329023644,10-Jan-18,14-Nov-17,3-Feb-18,"88,000.00"
Department of Human Services,CN3478849,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Delivery & Fitout,Property management services,D329023661,10-Jan-18,22-Nov-17,30-Jun-18,"682,952.60"
Department of Human Services,CN3478851,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Fitout Fees,Property management services,D329023662,10-Jan-18,20-Nov-17,21-May-18,"713,423.70"
Department of Human Services,CN3478852,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Delivery & Fitout,Property management services,D329023762,10-Jan-18,24-Nov-17,30-Jun-18,"936,589.50"
Department of Human Services,CN3479956,,ODYSSEY Training,91079327594,Training Services,Education and Training Services,54265B,18-Jan-18,1-Feb-18,23-Feb-18,"19,599.14"
Department of Human Services,CN3481248,SON1834831,ADECCO Australia Pty Ltd,91006253336,Labour Hire,Personnel recruitment,D292023918,25-Jan-18,14-Dec-17,30-Jun-19,"136,590,355.00"
Department of Human Services,CN3481250,SON1834831,Chandler Macleod Group Limited,33090555052,Labour Hire,Personnel recruitment,D292023919,25-Jan-18,14-Dec-17,30-Jun-19,"134,375,375.01"
Department of Human Services,CN3481627,,The Eventful Group Pty Ltd,64093121692,Conference Attendance,Education and Training Services,HFTB182095,31-Jan-18,18-Mar-18,18-Mar-18,"19,250.00"
Department of Human Services,CN3481722,,Australian Public Service Commission,99470863260,Training Services,Education and Training Services,1800024054,31-Jan-18,1-Mar-18,1-Mar-18,"14,000.00"
Department of Human Services,CN3481724,,Australian Public Service Commission,99470863260,Training Services,Education and Training Services,180024160,31-Jan-18,13-Mar-18,31-Mar-19,"16,500.00"
Department of Human Services,CN3482569,SON3470742,Pacific Services Group Holdings P/L,80150022110,Project Fees,Building construction and support and maintenance and repair services,D332023926,6-Feb-18,19-Dec-17,31-Mar-18,"88,000.00"
Department of Human Services,CN3482570,SON3470742,Pacific Services Group Holdings P/L,80150022110,Project Fees,Building construction and support and maintenance and repair services,D332023925,6-Feb-18,19-Dec-17,31-Mar-18,"88,000.00"
Department of Human Services,CN3482571,SON3470742,Pacific Services Group Holdings P/L,80150022110,Project Fees,Building construction and support and maintenance and repair services,D332023923,6-Feb-18,19-Dec-17,31-Mar-18,"88,000.00"
Department of Human Services,CN3482572,SON3470742,Pacific Services Group Holdings P/L,80150022110,Project Fees,Building construction and support and maintenance and repair services,D332023922,6-Feb-18,19-Dec-17,31-Mar-18,"88,000.00"
Department of Human Services,CN3482573,SON3470742,Pacific Services Group Holdings P/L,80150022110,Project Fees,Building construction and support and maintenance and repair services,D332023921,6-Feb-18,19-Dec-17,31-Mar-18,"88,000.00"
Department of Human Services,CN3482574,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Property Fitout Services,Property management services,D329024163,6-Feb-18,25-Jan-18,30-Jun-18,"1,766,598.90"
Department of Human Services,CN3482575,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Project Management Services,Property management services,D329024155,6-Feb-18,23-Sep-17,30-Jun-18,"161,920.00"
Department of Human Services,CN3482576,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,Business Integrity Data Analyst,Property management services,D329024154,6-Feb-18,1-Feb-18,2-Apr-18,"10,582.00"
Department of Human Services,CN3482577,SON3460620,Jones Lang Lasalle (ACT) Pty Ltd,69008585260,LED Lighting Upgrade,Property management services,D329024100,6-Feb-18,19-Jan-18,15-Jun-18,"128,147.80"
