"","Category","kf25","kf50","kf100","kfit100.sp$cluster","kfit150.sp$cluster","kfit150$cluster","kfit250$cluster","kfit250.sp$cluster"
"1503","radiotherapy teletherapy products",23,12,46,74,79,119,198,107
"1504","thin client computers",23,12,6,30,98,21,92,132
"1505","suits",7,2,8,86,137,15,34,150
"1506","firewall network security equipment",11,32,20,20,33,88,245,241
"1507","customs administration and compliance",23,12,53,41,87,97,79,118
"1508","x ray microanalysers",14,36,89,86,137,16,71,150
"1509","electrical power sensors",23,12,22,41,147,20,59,169
"1510","hoists",7,2,8,35,110,15,34,165
"1511","diagnostic radiopharmaceutical",14,36,89,21,91,16,71,205
"1512","laboratory hotplates",14,36,89,86,137,16,71,150
"1513","gardens",7,2,8,86,137,15,34,150
"1514","dirt and soil",14,36,89,86,137,16,71,150
"1515","interior painting services",1,50,31,98,149,80,119,106
"1516","financial analysis software",23,14,51,71,105,82,205,179
"1517","liquidation law services",1,50,31,98,149,80,119,106
"1518","procurement software",14,39,95,91,126,62,197,126
"1519","floral plants",14,36,89,86,137,16,71,150
"1520","building environmental control systems",25,47,7,66,11,31,181,101
"1521","foreign languages resources",23,12,53,64,87,20,29,44
"1522","cable television services",1,50,31,98,149,80,119,106
"1523","ip phones",7,2,8,86,137,15,18,102
"1524","eating and drinking establishments",23,12,53,21,91,20,12,205
"1525","picture framing",14,36,89,21,91,16,71,205
"1526","vaccination services",10,46,54,92,99,51,109,1
"1527","paper cutting machines or accessories",25,20,92,50,113,137,177,45
"1528","business credit gathering or reporting services",15,8,40,94,63,18,120,189
"1529","securities and commodities markets services",2,13,68,94,63,101,221,189
"1530","actuators",7,2,8,86,137,15,34,150
"1531","energy conservation programs",23,12,53,79,109,20,228,20
"1532","postgraduate programs",14,36,58,86,137,16,146,163
"1533","removal services or ornamental plant or bush or tree",12,43,72,67,29,23,93,94
"1534","office kitchens",14,36,89,21,93,16,163,147
"1535","entertainment centres",14,36,89,21,91,16,71,205
"1536","market research mail surveys",25,20,35,62,64,143,2,127
"1537","educational incentives",14,36,67,86,137,135,83,150
"1538","scientific or research satellites",23,12,53,89,116,134,149,116
"1539","multimedia kits",14,36,60,44,18,64,73,17
"1540","thermal transfer printer for commercial printing applications",4,48,55,47,66,126,17,112
"1541","timepieces and jewellery and gemstone products",25,20,35,36,150,98,173,42
"1542","mailing supplies",14,36,37,65,128,6,246,206
"1543","court system",13,5,16,53,82,86,175,161
"1544","television advertising",14,41,89,21,136,121,206,202
"1545","operating system programming services",2,13,38,94,63,128,123,155
"1546","telecommunications remote access unit",25,20,35,62,64,32,210,127
"1547","temperature or humidity surface observing apparatus",16,16,42,47,66,57,224,62
"1548","anemometers",7,2,8,35,110,15,34,165
"1549","meteorology instrument accessories",18,30,48,9,119,10,176,235
"1550","weather stations",14,36,89,86,137,16,71,150
"1551","meteorological instruments",14,44,89,83,45,16,114,15
"1552","wind surface observing apparatus",25,20,35,41,87,32,210,20
"1553","barometers",7,2,8,35,110,15,34,165
"1554","radiosonde apparatus",14,36,89,86,137,16,71,150
"1555","printed circuits and integrated circuits and microassemblies",5,18,80,5,94,71,54,90
"1556","rainfall recorders",14,36,89,86,137,16,71,150
"1557","hydrometeorology",7,2,8,35,110,15,34,165
"1558","copywriting",7,2,8,35,110,15,34,165
"1559","energy work",14,36,89,21,91,16,157,205
"1560","job search skills instructional materials",16,4,42,47,107,114,11,49
"1561","wheelchairs",7,2,8,86,137,15,34,150
"1562","personal appearance",14,36,89,86,137,16,71,150
"1563","fire services",10,46,54,92,99,51,109,1
"1564","laboratory building",14,34,89,21,91,16,138,233
"1565","secretariat services",10,46,54,72,58,51,109,60
"1566","health administration services",21,50,23,15,84,80,84,14
"1567","smart cards",14,36,89,86,137,16,127,150
"1568","government budgeting services",1,50,31,98,149,80,119,106
"1569","data conversion service",1,50,31,98,149,80,119,106
"1570","taxation issues and preparation",23,12,17,41,87,20,12,20
"1571","telephone call sequencers",23,12,53,21,91,20,167,205
"1572","influenza virus vaccine",23,12,53,21,124,105,12,131
"1573","content authoring and editing software",25,3,91,39,77,49,86,8
"1574","modular technical office packages",25,20,35,62,64,32,210,127
"1575","washroom sanitation services",1,50,31,72,58,80,119,60
"1576","telephone entry systems",17,27,100,53,82,150,241,161
"1577","telephone line sharing devices",25,20,35,41,87,13,210,93
"1578","telephone aids for the physically challenged",25,20,35,62,88,52,210,2
"1579","mail machines",14,36,88,24,48,113,21,113
"1580","production systems equipment",19,6,87,20,60,17,142,228
"1581","electronic software documentation or user manuals",3,16,45,47,85,9,110,62
"1582","multimedia service centre",1,50,31,98,149,80,119,106
"1583","hand held camcorders or video cameras",16,16,42,41,87,57,224,20
"1584","government antitrust or regulations law services",15,8,40,94,63,18,120,189
"1585","data base user interface and query software",4,48,55,5,94,126,17,90
"1586","population census services",1,50,31,92,99,80,119,1
"1587","control cable",14,21,37,16,90,8,193,100
"1588","standard newsprint",14,36,89,21,91,16,71,205
"1589","central processing unit coolers",25,20,35,41,87,32,210,175
"1590","electrical control panels for generators",25,20,35,62,64,14,128,26
"1591","offset printing consumables",23,12,53,41,87,136,24,98
"1592","disaster preparedness and relief",23,12,53,41,87,20,12,20
"1593","governmental credit agencies",23,12,53,41,87,20,12,20
"1594","switch ports or cards",23,12,53,41,87,20,12,20
"1595","dry or storage battery manufacture services",15,8,40,18,65,18,120,157
"1596","universal joints",14,36,89,86,137,16,71,150
"1597","anti submarine helicopters",23,12,53,41,87,20,12,20
"1598","mirror assemblies",14,36,89,21,91,16,225,205
"1599","electrical fixture brackets",23,12,22,41,147,20,59,169
"1600","fibres",7,2,8,86,137,15,34,150
"1601","electrocardiography ekg monitor accessory kits",16,16,81,9,119,45,70,235
"1602","jacks",7,2,8,35,110,15,34,165
"1603","moulded boxes",14,36,89,21,91,78,57,205
"1604","mens boots",14,36,89,88,73,83,71,177
"1605","clevis",7,2,8,35,110,15,34,165
"1606","face and head protection",23,12,53,41,23,20,65,175
"1607","engraving machines",14,36,88,24,48,113,21,113
"1608","electrician kits",14,36,60,100,137,64,73,173
"1609","harnesses or its accessories",13,5,24,58,146,69,222,248
"1610","connecting leads or wires",23,12,53,41,87,20,185,20
"1611","tie down anchors",14,36,89,86,137,16,71,150
"1612","protective knee pads",23,12,53,19,118,20,65,6
"1613","belts or suspenders",14,36,89,86,137,16,71,150
"1614","sawing machines",14,36,88,24,48,113,21,113
"1615","parachutes",7,2,8,86,137,15,34,150
"1616","military seaplanes",14,36,89,86,137,74,130,234
"1617","hydraulic cylinders",14,36,89,21,80,16,71,53
"1618","axle repair kits",23,12,53,41,8,59,48,231
"1619","telescoping poles",14,36,89,35,110,16,71,165
"1620","aviation fuel",14,36,82,86,39,132,49,163
"1621","emergency or rescue blankets",23,12,53,41,87,4,12,20
"1622","adjustable fence",14,36,89,86,137,16,71,150
"1623","circuit assemblies and radio frequency rf components",16,16,42,47,66,57,224,212
"1624","saws",7,2,8,86,137,15,34,150
"1625","gels",7,2,8,35,110,15,34,165
"1626","tensiometers",7,2,8,35,110,15,34,165
"1627","hats",7,2,8,35,110,15,34,165
"1628","rope and chain and cable and wire and strap",16,16,42,47,66,57,224,62
"1629","womens shoes",14,36,89,21,91,16,71,205
"1630","guy cables",14,21,37,93,137,146,193,173
"1631","bridge construction",14,36,89,21,91,16,71,205
"1632","reel",7,2,8,35,110,15,34,165
"1633","medals",7,2,8,35,110,15,34,165
"1634","fire hoses or nozzles",23,12,53,41,87,20,12,136
"1635","snap fastener",14,36,89,86,137,16,71,150
"1636","aircraft harness restraints",23,25,3,33,4,59,230,158
"1637","forklift or elevator accessories or supplies",25,20,92,50,78,137,238,230
"1638","aircraft wings",14,23,60,97,6,91,223,114
"1639","resuscitation masks or accessories",18,30,48,9,119,11,176,235
"1640","leather luggage or handbags manufacturing services",15,8,40,18,65,18,120,157
"1641","blocks or pulleys",14,36,89,35,110,16,71,165
"1642","anti submarine aircraft",23,25,3,33,4,59,97,158
"1643","personal safety devices or weapons",25,20,35,1,64,13,50,222
"1644","twill weave cotton fabrics",25,20,35,28,28,32,169,3
"1645","laundry nets or bags",23,12,53,41,87,20,12,20
"1646","examination booklets or forms",23,12,53,41,87,20,12,20
"1647","inventory forms or inventory books",4,48,55,5,94,126,17,90
"1648","log books or pads",23,12,53,41,87,20,12,44
"1649","multichannel intravenous infusion pumps",25,20,35,41,87,32,210,20
"1650","automated external defibrillators aed or hard paddles",16,16,42,86,137,57,224,150
"1651","transport or mobile multiparameter vital sign units or accessories",5,18,80,47,20,44,54,142
"1652","oxygen monitors or supplies",23,30,19,63,145,36,248,162
"1653","water hoses",14,36,89,45,122,132,104,78
"1654","cutting and crimping and punching tools",25,20,35,21,134,32,210,82
"1655","ball valves",14,36,89,86,137,16,71,150
"1656","cultures and fluids",14,36,89,21,91,16,71,205
"1657","dental associations",14,36,1,21,91,16,239,205
"1658","heavy construction machinery and equipment",6,32,29,75,36,88,250,203
"1659","machinery for working wood and stone and ceramic and the like",4,48,55,47,66,126,17,62
"1660","refrigerant compressors",14,36,89,21,91,133,71,205
"1661","battery adapter or accessories",18,30,48,9,119,110,176,235
"1662","plastic bags",14,36,89,21,91,78,36,204
"1663","endoscopic dilators or inflation devices or related products",4,48,55,51,104,126,17,65
"1664","buoyancy compensators",14,36,89,86,137,16,71,150
"1665","deionisation or demineralisation equipment",19,6,87,84,70,17,47,213
"1666","permeability testing apparatus",23,12,53,21,91,20,12,205
"1667","weight measuring instruments",23,12,53,83,45,20,12,15
"1668","aircraft antennas",14,23,60,97,6,91,223,114
"1669","protein chemifluorescent detection reagents or kits or substrates",4,48,55,41,8,126,17,231
"1670","shear pins",14,36,89,86,137,16,71,150
"1671","desiccants",7,2,8,35,110,15,34,165
"1672","disinsectisation services",10,46,54,72,58,51,109,60
"1673","aircraft horizontal stabilisers",23,25,3,27,71,59,97,156
"1674","hexamines",7,2,8,35,110,15,34,165
"1675","set screws",14,36,89,86,137,16,71,150
"1676","harness goods",14,36,89,21,91,16,71,205
"1677","tool handles",14,36,60,21,134,89,108,82
"1678","emergency medical services first aid kit cases or bags or accessories",9,37,41,32,24,100,19,217
"1679","mens shirts",14,36,89,46,137,83,71,119
"1680","spring pins",14,36,89,21,91,16,71,205
"1681","fluorescent tubes",14,36,89,21,91,16,71,205
"1682","lead acid batteries",23,12,53,21,16,20,12,205
"1683","lifelines or lifeline equipment",16,16,76,84,70,19,78,213
"1684","self adhesive labels",23,12,53,41,87,20,115,20
"1685","drive shafts",14,36,89,21,91,108,121,205
"1686","ammunition handling systems",17,27,100,13,92,150,241,220
"1687","grinding and polishing and smoothing materials",25,20,2,21,129,65,67,91
"1688","aircraft fuselage and components",23,25,3,97,6,87,97,114
"1689","guided missiles",14,36,89,21,91,16,71,205
"1690","truck tractors",14,36,89,21,91,16,71,205
"1691","vehicle safety and security systems and components",20,16,71,47,52,39,212,151
"1692","resin and rosin and rubber and foam and film and elastomeric materials",5,18,80,11,40,71,150,90
"1693","aircraft environmental control systems and components",20,16,71,47,52,39,212,151
"1694","fabricated plate assemblies",23,12,12,28,28,107,14,141
"1695","industrial filtering and purification",23,38,52,41,142,27,236,178
"1696","missile subsystems",14,36,89,21,91,16,71,205
"1697","aircraft master control systems",25,47,7,66,11,34,181,37
"1698","location and navigation systems and components",25,47,7,4,11,12,181,101
"1699","launch vehicles and rockets",23,12,79,21,122,95,45,137
"1700","recreational aircraft",14,23,60,97,6,91,223,114
"1701","taxation",7,2,8,86,137,15,34,150
"1702","naval weapons",14,36,89,86,137,16,71,150
"1703","rockets and subsystems",14,36,89,21,91,16,71,205
"1704","lamps and lightbulbs and lamp components",4,48,55,47,66,126,17,212
"1705","master control systems",17,27,100,13,92,150,117,220
"1706","gun systems",13,5,16,53,82,86,175,161
"1707","aircraft power systems",17,27,100,13,42,150,1,220
"1708","hydraulic machinery and equipment",19,6,73,20,3,60,166,75
"1709","specialised and recreational vehicles",23,12,79,41,43,95,45,55
"1710","explosive materials",14,28,77,21,129,90,82,91
"1711","aircraft landing and braking systems",25,47,7,66,11,34,181,37
"1712","detective services",10,46,54,92,99,51,109,1
"1713","missiles",7,2,8,86,137,15,34,150
"1714","wheels and wheel trims",16,16,42,47,66,57,224,62
"1715","safety and rescue vehicles",23,12,79,96,43,95,45,55
"1716","space transportation support systems and equipment",20,16,76,75,36,19,78,125
"1717","jams and jellies and nut and sweet spreads and fruit conserves",5,18,80,62,64,71,54,127
"1718","bread and biscuits and cookies",23,12,53,86,137,20,12,150
"1719","fuel tanks and systems",17,27,100,13,92,150,241,220
"1720","firearms",7,2,8,35,110,15,34,165
"1721","vehicle servicing equipment",1,33,27,77,17,53,170,35
"1722","military services and national defence",2,13,68,94,63,101,221,189
"1723","sawmilling and lumber processing machinery and equipment",16,16,76,20,3,19,78,246
"1724","industrial pumps and compressors",23,38,52,41,142,27,236,178
"1725","environmental control systems",17,27,100,13,92,150,117,220
"1726","aircraft passenger restraints",23,25,3,33,4,59,230,158
"1727","flight communications related systems",25,47,7,4,11,12,181,101
"1728","decontamination aids and safety cleaning equipment",16,16,76,6,1,19,78,159
"1729","alloys",7,2,8,86,137,15,34,150
"1730","waxes and oils",14,36,89,21,112,64,66,50
"1731","suspension system components",17,27,100,13,133,150,1,220
"1732","water safety",14,36,21,45,122,72,104,78
"1733","aerospace location and navigation systems and components",20,16,71,47,52,39,212,151
"1734","engine coolant system",17,27,100,53,82,150,111,161
"1735","sports equipment and accessories",19,6,87,8,144,28,64,43
"1736","fabricated structural assemblies",23,12,12,28,28,107,14,141
"1737","hand tools",14,36,60,21,134,89,108,82
"1738","barrier guarding",14,36,89,21,91,16,71,205
"1739","decorative ribbons",14,36,89,21,91,16,71,33
"1740","attenuators",7,2,8,35,110,15,34,165
"1741","canvas bags",14,36,89,54,137,78,36,27
"1742","markers",7,2,8,35,110,15,34,165
"1743","fuel storage tanks",23,12,57,40,87,55,103,153
"1744","plain weave cotton fabrics",25,20,35,28,28,32,169,3
"1745","meningococcal vaccine",14,36,89,86,137,16,71,150
"1746","measles and mumps and rubella virus vaccine",16,16,42,21,124,57,224,131
"1747","diptheria and tetanus toxoids and acellular pertussis vaccine",4,48,55,21,124,126,17,131
"1748","camping or outdoor stoves",23,12,53,41,87,20,12,20
"1749","spice or salt or pepper shakers",25,20,35,86,137,32,210,150
"1750","folders",7,2,8,86,137,15,34,150
"1751","heat resistant clothing",23,12,53,41,87,20,12,20
"1752","hepatitis b virus vaccine",23,12,53,21,124,105,12,131
"1753","hose fitting",14,36,89,21,91,16,71,205
"1754","elevating platform vehicles or scissor lifts",16,16,42,47,66,57,224,62
"1755","hoses",7,2,8,86,137,15,34,150
"1756","fuel filters",14,36,82,21,56,132,49,41
"1757","reconnaissance helicopters",14,36,89,21,91,16,71,205
"1758","infrared ir sensors",14,36,89,21,91,16,71,205
"1759","flight instrumentation",14,44,89,83,45,16,114,15
"1760","military science and research",23,12,53,89,116,134,149,116
"1761","wood and paper industries",23,38,52,41,142,27,236,178
"1762","fibres and textiles and fabric industries",25,20,35,62,64,32,143,182
"1763","bombs and grenades",14,36,89,86,137,16,71,150
"1764","mines",7,2,8,86,137,15,34,150
"1765","slacks and trousers and shorts",23,12,53,41,87,20,12,20
"1766","poliovirus vaccine",14,36,89,86,137,16,71,150
"1767","fog or mist generators",23,12,53,86,137,20,167,150
"1768","head or face protective helmets or devices or accessories for the physically challenged",5,18,41,32,68,42,23,244
"1769","rocket launchers",14,36,89,21,91,16,71,205
"1770","aquatic invertebrates",14,36,89,35,110,16,71,165
"1771","missile and rocket launchers",23,12,53,41,87,20,12,20
"1772","postmortem and mortuary equipment and supplies",11,32,34,81,75,102,180,195
"1773","spaceships",7,2,8,35,110,15,34,165
"1774","cereals",7,2,8,86,137,15,34,150
"1775","fabricated sheet assemblies",23,12,12,28,28,107,14,141
"1776","aircraft emergency systems",17,27,100,13,42,150,1,220
"1777","launchers",7,2,8,86,137,15,34,150
"1778","safety and rescue water craft",25,20,15,1,64,116,196,120
"1779","automotive hydraulic systems",17,27,100,13,92,150,241,220
"1780","connector assemblies",14,36,89,21,91,16,225,205
"1781","signalling components",14,36,89,21,32,16,106,186
"1782","emergency medical services search and rescue kits",12,43,72,67,29,23,93,94
"1783","retaining clips",14,36,89,86,137,16,71,150
"1784","drink coolers",14,36,89,21,91,16,71,205
"1785","protective rainwear or wet environment apparel",16,16,42,41,23,57,224,175
"1786","fixturing and test equipment",19,6,87,20,3,17,47,247
"1787","restraints",7,2,8,86,137,15,34,150
"1788","makeup kits",14,36,60,100,137,64,73,173
"1789","pillows",7,2,8,86,137,15,34,150
"1790","aerial cable",14,21,37,21,91,146,193,216
"1791","pins or tacks",14,36,89,86,137,16,71,150
"1792","machine mounts or vibration isolators",25,20,35,41,87,32,210,219
"1793","earth moving machinery",23,45,93,43,59,1,215,87
"1794","electrical insulating tape",23,12,22,41,147,20,59,169
"1795","flat belts",14,36,89,21,91,16,71,205
"1796","chicken processing machinery and equipment",6,32,29,20,3,88,250,246
"1797","vision protection and accessories",18,30,48,9,119,11,176,235
"1798","spacecraft",7,2,8,35,110,15,34,165
"1799","product and material trailers",23,35,46,36,22,130,198,96
"1800","emergency response litters or stretchers or accessories",16,16,81,50,113,45,70,45
"1801","mirrors",7,2,8,86,137,15,34,150
"1802","through tubing perforation gun accessories",25,20,92,9,119,137,177,235
"1803","gaskets and seals",14,36,89,86,137,16,71,150
"1804","machine guns",14,36,88,24,48,113,21,113
"1805","ear muffs",14,36,89,86,137,16,71,150
"1806","trailer hitches",14,36,89,86,137,16,71,150
"1807","endoscopic diaphragms",14,36,89,86,137,16,71,150
"1808","girls slacks or trousers or shorts",25,20,35,41,87,32,210,20
"1809","anatomical human mannequins for medical education or training",4,48,55,47,66,126,17,62
"1810","zinc plate",14,36,89,86,137,16,71,150
"1811","wrapping machinery",14,36,63,43,59,61,202,87
"1812","cardstock papers",14,36,77,86,137,96,32,150
"1813","machining and processing services",1,50,31,98,149,80,119,106
"1814","vehicle windows and windshields",23,12,79,41,43,95,45,55
"1815","vehicle maintenance and repair services",8,13,13,94,7,101,89,69
"1816","sauces and spreads and condiments",23,12,53,86,137,20,12,150
"1817","undergarments",7,2,8,35,110,15,34,165
"1818","electronic batteries",14,36,66,21,16,16,55,199
"1819","hazardous waste disposal",23,12,53,7,67,37,98,143
"1820","welders",7,2,8,35,110,15,34,165
"1821","helical springs",14,36,89,86,137,16,71,150
"1822","label papers",14,36,77,21,129,96,32,91
"1823","pressure or steam cleaners",23,12,53,41,87,20,12,20
"1824","calfskin leather",14,36,89,86,137,16,71,150
"1825","correspondence forms or correspondence books",4,48,55,21,91,126,17,205
"1826","automobile or light truck tyres",25,20,35,62,64,32,210,127
"1827","liquid scintillation counters",23,12,53,21,91,20,12,205
"1828","electrical wire",14,36,37,2,91,16,141,186
"1829","pathology dissection instruments and supplies",25,20,96,65,128,147,25,206
"1830","irradiation testing capsules",23,12,53,86,137,20,12,150
"1831","binocular vision test sets or accessories",16,16,81,50,113,45,70,45
"1832","aircraft propellers",14,23,60,97,6,91,223,114
"1833","linear motion guides",23,12,53,41,87,20,12,20
"1834","bedclothes and table and kitchen linen and towels",16,16,42,62,64,57,224,127
"1835","industrial laundry and dry cleaning equipment",16,16,76,6,1,19,78,159
"1836","optical mounts",14,36,89,21,91,16,71,205
"1837","pneumatic and hydraulic and electric control systems",20,16,71,47,52,39,212,151
"1838","fabricated pipe assemblies",23,12,12,28,28,107,14,141
"1839","instrument panels",14,44,89,83,45,16,114,15
"1840","chemical test strips or papers",25,20,35,62,64,32,244,32
"1841","marine goosenecks",14,36,89,86,137,16,71,150
"1842","folders and binders and indexes",23,12,53,41,87,20,12,20
"1843","petroleum processing machinery",23,45,93,78,35,1,215,124
"1844","adventure games",14,36,89,86,137,16,71,150
"1845","emergency medical services disaster body pouches",12,43,72,67,29,23,93,94
"1846","tissue culture incubators",23,12,53,21,91,20,12,205
"1847","sand",7,2,8,35,110,15,34,165
"1848","lathes",7,2,8,35,110,15,34,165
"1849","search and rescue teams",23,12,53,21,91,4,12,205
"1850","dehumidifiers",7,2,8,35,110,15,34,165
"1851","rubber seals",14,36,89,21,91,16,71,205
"1852","aircraft cargo handling equipment",11,32,20,75,36,88,33,58
"1853","industrial optics",14,36,89,21,83,133,124,249
"1854","colourants",7,2,8,86,137,15,34,150
"1855","oxygen o",7,2,8,86,137,15,34,150
"1856","strobe or warning lights",23,12,53,21,91,76,40,205
"1857","hearing protectors",14,36,89,21,91,16,71,205
"1858","insulation",7,2,8,86,137,15,34,150
"1859","respiratory protection",14,36,65,19,118,16,243,6
"1860","housings and cabinets and casings",23,12,53,41,87,20,12,20
"1861","fire retardant apparel",23,12,53,21,91,20,12,205
"1862","drilling and operation machinery",23,45,93,78,35,1,215,124
"1863","ropes",7,2,8,86,137,15,34,150
"1864","grenades",7,2,8,86,137,15,34,150
"1865","aircraft accumulators",14,23,60,97,6,91,223,114
"1866","electronic actuators",14,36,66,21,91,16,55,199
"1867","shim washers",14,36,89,21,91,16,71,205
"1868","mobile and fixed floodlighting",23,12,53,21,91,20,12,205
"1869","tool holder",14,36,60,21,134,89,108,82
"1870","fan",7,2,8,86,137,103,171,150
"1871","specialty wiring harness",23,12,53,41,87,20,185,20
"1872","coats and jackets",14,36,89,21,91,16,71,205
"1873","pneumatic machinery and equipment",19,6,73,20,3,60,166,75
"1874","fabricated tube assemblies",23,12,12,28,28,107,14,141
"1875","parachute cloth",14,36,89,60,91,16,71,205
"1876","industrial electric power distribution",25,20,35,62,64,14,128,26
"1877","cleaning rags and cloths and wipes",25,20,35,60,91,32,210,110
"1878","floats",7,2,8,35,110,15,34,165
"1879","resins and rosins and other resin derived materials",5,18,80,11,40,71,150,90
"1880","plastic straps",14,36,89,21,91,16,71,204
"1881","exterior trim materials",23,35,94,90,81,144,44,185
"1882","plastic bottles",14,36,89,21,91,16,71,204
"1883","miscellaneous fasteners",14,36,89,21,91,16,71,205
"1884","water filters",14,36,89,45,122,132,104,78
"1885","pneumatic valves",14,36,89,21,91,16,71,205
"1886","polyamide nylons pa",14,36,89,86,137,16,71,150
"1887","heavy equipment components",19,6,87,20,3,17,47,247
"1888","fuel injectors",14,36,82,86,39,132,49,163
"1889","nylon thread",14,36,89,21,91,16,71,205
"1890","antiballistic missiles",14,36,89,86,137,16,71,150
"1891","construction machinery conversion kits",25,20,35,62,64,115,203,152
"1892","metal posts",24,29,89,26,41,16,71,205
"1893","general tool kits",22,12,53,78,8,59,85,231
"1894","camping chairs or stools",23,12,53,21,91,20,12,205
"1895","electrical receptacles",14,36,37,2,91,16,141,186
"1896","suture buttons or bridges or related accessories",16,16,81,47,20,45,70,142
"1897","pneumatic mattresses",14,36,89,21,91,16,71,205
"1898","orthopaedic target devices or accessories",25,20,92,50,113,137,177,45
"1899","electronics kits",14,36,66,44,18,64,73,17
"1900","safety hoods",14,36,21,86,137,72,96,150
"1901","prepared and preserved foods",23,12,17,41,101,20,12,20
"1902","driving axles",14,36,89,21,91,108,121,205
"1903","cutting tools",14,36,60,21,134,89,108,82
"1904","mortars",7,2,8,86,137,15,34,150
"1905","metal detectors",24,29,89,26,41,16,71,205
"1906","machinery cutting knives or knife assemblies",16,16,42,62,64,57,224,170
"1907","panel assemblies or sections",23,12,12,83,45,107,14,205
"1908","medical ultrasound or doppler or pulse echo or echography units for general diagnostic use",9,37,69,5,94,122,30,243
"1909","wheel balancing equipment",19,6,87,81,75,17,47,195
"1910","holding and clamping tools",22,12,53,21,134,20,218,82
"1911","hazardous material decontamination",23,35,94,90,81,144,44,185
"1912","air classification equipment or parts or screens",16,16,76,75,36,19,78,58
"1913","circuit breakers",14,36,89,21,91,16,71,205
"1914","aeronautical engineering",14,42,84,86,137,64,141,95
"1915","fish",7,2,8,86,137,15,34,150
"1916","mouthpieces",7,2,8,35,110,15,34,165
"1917","tarpaulins",7,2,8,35,110,15,34,165
"1918","tool belts",14,36,60,21,134,89,108,82
"1919","sealing machines",14,36,88,24,48,113,21,113
"1920","adult or paediatric intensive care ventilators",16,16,42,62,64,57,224,127
"1921","steering wheels",14,36,89,21,91,16,71,205
"1922","electrochemical measuring instruments and accessories",25,20,92,9,119,137,177,235
"1923","printed circuit assemblies pcas",25,20,35,28,28,32,169,98
"1924","cushioning supplies",14,36,37,65,128,6,246,206
"1925","castings",7,2,8,86,137,15,34,150
"1926","vehicle trim and exterior covering",25,20,35,62,64,32,210,127
"1927","borescope inspection equipment",19,6,87,81,75,17,47,195
"1928","special tooling fixtures",22,12,53,78,87,20,218,231
"1929","paper pads or notebooks",23,12,78,41,87,111,126,20
"1930","hydraulic aircraft accumulators",23,25,3,33,4,59,97,158
"1931","tilt rotor wing aircraft",25,20,35,97,6,32,186,114
"1932","soldering and brazing and welding machinery and supplies",16,16,9,63,145,57,112,162
"1933","manufacturing tables and stands",23,12,53,41,87,20,12,20
"1934","protective aprons",14,36,65,86,137,16,243,150
"1935","petroleum testing equipment",19,6,87,20,3,17,47,247
"1936","hose or pipe clamps",23,12,53,41,87,20,12,20
"1937","sampling equipment",14,10,86,81,75,148,200,195
"1938","target and table games and equipment",11,32,20,75,36,88,33,58
"1939","plastic seals",14,36,89,21,91,16,71,204
"1940","anatomical human models for medical education or training",4,48,55,5,94,126,17,243
"1941","incandescent lamps",14,36,89,86,137,16,71,150
"1942","composite metal sheet",23,12,53,26,41,20,38,205
"1943","electron tube devices and accessories",25,20,92,50,113,137,177,45
"1944","safety vests",14,36,21,21,91,72,96,135
"1945","trailer connector",14,36,89,21,91,16,71,205
"1946","binders",7,2,8,86,137,15,34,150
"1947","hazardous material protective apparel",25,20,2,62,34,65,67,139
"1948","well drilling and operation equipment",11,32,20,75,36,88,33,58
"1949","audiometers or accessories",13,5,24,80,131,69,222,73
"1950","application specific circuit assemblies",25,20,35,62,64,32,169,170
"1951","hand or extension light",23,12,53,41,87,76,40,20
"1952","buttons",7,2,8,86,137,15,34,150
"1953","radio frequency rf cable",23,12,53,41,87,131,199,245
"1954","airport signalling systems",17,27,100,13,92,150,241,220
"1955","womens sweaters",14,36,89,21,91,16,71,205
"1956","reverse osmosis pumps",23,12,53,46,137,20,12,123
"1957","beams",7,2,8,35,110,15,34,165
"1958","tube and tubing",25,20,35,62,64,32,210,127
"1959","medical thermometers and accessories",18,30,48,58,146,11,176,248
"1960","ostomy skin barriers or protective care kits",4,48,55,47,66,126,17,62
"1961","stethoscope headsets",14,36,89,86,137,16,71,150
"1962","tabletop and serving equipment",19,6,87,84,70,17,47,213
"1963","towels",7,2,8,86,137,15,34,150
"1964","ladders",7,2,8,35,110,15,34,165
"1965","mens sweaters",14,36,89,88,73,83,71,177
"1966","aircraft hydraulic systems",17,27,100,13,42,150,1,220
"1967","mens coats or jackets",23,12,53,41,87,20,12,20
"1968","permanent information technology staffing needs",3,16,45,47,85,9,155,89
"1969","chartering services",10,46,54,92,99,51,109,1
"1970","temporary creative services",1,50,36,92,99,80,164,1
"1971","painting",7,17,64,86,137,104,135,27
"1972","gearmotors",7,2,8,35,110,15,34,165
"1973","oil or gas workboat",23,12,26,21,112,25,208,188
"1974","orthopaedic and prosthetic and sports medicine products",16,16,42,62,64,57,31,184
"1975","loading equipment",14,10,86,81,75,148,200,195
"1976","wood",7,2,8,86,137,15,34,150
"1977","crane vehicles",14,7,62,21,122,84,81,137
"1978","vessel stores services",1,50,31,98,149,80,119,106
"1979","military satellites",14,36,89,21,106,74,130,4
"1980","drilling rig ships",23,12,53,21,91,20,12,205
"1981","intercom systems",13,5,16,25,53,86,175,225
"1982","food and beverage industries",23,38,52,41,101,27,236,178
"1983","vessel docking services",1,50,31,98,149,80,119,106
"1984","earthmoving buckets or its parts or accessories",25,20,92,9,96,137,177,235
