"","x"
"turner & townsend thinc group holdings pty ltd",1
"broadleaf capital international pty. ltd.",65
"syft technologies",2
"skillsoft pty. ltd.",1
"alg australia pty ltd",12
"crown equipment pty. limited",259
"focus capital group limited",6
"coffey projects (australia pty limited",179
"grosvenor management consulting pty. ltd.",323
"mccracken country club pty ltd",1
"business objects australia pty limited",20
"taylor bros marine pty. ltd.",69
"gill australia pty limited",4
"sme gateway pty ltd",1185
"operational solutions management pty. limited",5
"cng systems pty ltd",3
"the commonwealth club limited",1
"mac 1 pty limited & hogg pty limited",7
"australian radiation protection and nuclear safety agency (arpansa",124
"evolve studios pty ltd",77
"factiva",97
"halcyon international pty ltd",1
"oakton aa services pty ltd",841
"cre8ive australasia pty ltd",168
"the trustee for the l and m davies family trust & the trustee for the r a golden discretionary trust",40
"microster pty limited",2
"puma energy (australia fuels pty ltd",116
"b p australia pty ltd",2095
"graham bailey pty ltd",86
"sea swift pty. ltd.",203
"viva energy australia pty ltd",1531
"rivergate marina & shipyard pty ltd",5
"sydney fuel & barge pty ltd",5
"crokers fuel & oils pty ltd",2
"penske power systems pty ltd",1936
"papamichalakis, frank ",1
"cpt global limited",167
"jje group pty ltd",1
"the ludden group pty ltd",1
"the trustee for ppc worldwide unit trust",114
"hp enterprise services australia pty ltd",104
"telstra services solutions holdings limited",1
"australian institute of forensic psychology pty ltd",22
"amanda horne pty limited",18
"ae hoskins & sons",1
"qinetiq consulting pty ltd",501
"rosewarne, jason kent",13
"zenith interiors pty. ltd.",368
"bawinanga aboriginal corp",26
"intervention engineering pty ltd",3
"online 89 pty limited",206
"neaves investment group pty. ltd.",14
"nioa nominees pty ltd t/f bill nioa family trust",436
"e.fab pty ltd",5
"burns bridge australia pty ltd as trustee for burns bridge services trust",2
"austral fisheries pty ltd",3
"dept of foreign affairs & trade",813
"leafe, john graham",2
"elecmec pty. ltd.",6
"electrotech australia pty limited",424
"freespirit resorts pty ltd",7
"attorney-generals department",686
"oz-train pty. ltd.",4
"fitsense australia pty ltd",44
"mitsubishi electric australia pty ltd",3
"the trustee for the mustang trading trust & the trustee for the sj trading trust",3
"the trustee for the wpa trust & w.p.a. nominees pty ltd & wunda projects australia pty ltd",1
"the trustee for topline partitions & interiors unit trust",9
"bendix industries (qld. pty. limited",16
"precision metals queanbeyan pty ltd",388
"the trustee for the doyle-cox family trust",481
"aussie hire pty. ltd.",4
"boardroom pty limited",22
"a.c.n. 100 573 911 pty ltd",240
"vasco data security australia pty ltd",81
"queensland hosiery mill pty. ltd.",3
"insight fitness pty ltd",3
"k.w. mcculloch proprietary limited",20
"crimtrac agency",178
"mossop group pty. ltd.",23
"tanner james management consultants pty. ltd.",263
"p-con knowledge systems pty limited",5
"p.s mircovich & r.a mircovich",3
"e m solutions pty ltd",33
"power on australia pty ltd",40
"clifton operations pty limited",226
"the trustee for parks trading unit trust",1
"kengar unit trust",29
"dacaly pty ltd",301
"avaya australia pty ltd",470
"bayley family trust",258
"utc fire & security australia pty ltd",15
"the trustee for australian institute of education & training unit trust",4
"integrated care services pty ltd",97
"watermark search international pty limited",69
"fulcrum management pty. limited",121
"rhe & associates pty ltd",3
"critr pty ltd",267
"the trustee for linda tomlin family trust",1
"hoffmann donohue pty ltd",51
"brisbane airport corporation pty limited",77
"ast oceanics pty ltd",17
"ca (pacific pty ltd",328
"diversiti pty ltd",99
"vivien twyford communication pty. limited",25
"2nd road pty ltd",22
"id supplies pty ltd",12
"subrosasoft",1
"valherd pty. limited",1
"the trustee for eden equity trust",2
"hogg pty ltd & the trustee for the kdma trading discretionary trust",16
"collecte localisation satellites",1
"infratherm pty ltd",41
"austhink consulting pty ltd",13
"satellite communications australia pty ltd",55
"bianco hiring service pty ltd",2
"cit solutions pty limited",1610
"lega proprietary limited",1
"terry williams enterprises pty. ltd.",4
"prestige electronics canberra pty ltd",8
"james wayman",1
"tryndial pty ltd",4
"tan holdings pty ltd",1
"australia-wide business training pty ltd",7
"gatfield, brian william",1
"inflatable boats australia pty ltd",1
"miltech services pty. limited",4
"northern australia aboriginal development corporation pty ltd",3
"tpr systems pty ltd",133
"haworth australia pty limited",11
"bhagwan marine security pty ltd",7
"broadwater beach resort (beachffront pool",1
"atkins, david ",2
"semrau constructions pty ltd",3
"ocean modules pty limited",2
"apis group pty limited",349
"bruck textile technologies pty ltd",24
"schiavello property (wa pty ltd",33
"acn 007 747 748 pty ltd",36
"turner & townsend thinc pty ltd",166
"dms maritime pty limited",811
"the trustee for p@w sydney unit trust",1
"the trustee for brecko family trust tas company co-ordinates",2
"r moore equipment pty ltd",2
"sjn consulting pty ltd",1
"the trustee for meta marketing woden unit trust",3
"api security pty limited",28
"southport yacht club inc",2
"hamilton island enterprises limited",4
"unisys australia pty limited",402
"dtz hr services pty ltd",15
"trusteel fabrications pty. ltd.",2
"robert clarke builders pty ltd",2
"b-line edit services pty ltd",1
"qrsciences pty ltd",4
"babcock mission critical services australasia pty ltd",23
"aecom services pty ltd",306
"david, leonie allyson",1
"professional careers australia pty limited",50
"american science and engineering",1
"swinton contract flooring pty ltd",1
"qs enrolment solutions (australia pty ltd",41
"tarcus pty ltd",39
"major training services pty. ltd",492
"thinkplace pty limited",58
"bearcage pty ltd",166
"mccann worldgroup pty limited",327
"orora limited",15
"ethnic communications pty limited",3
"phoenix it & t consulting pty limited",3
"bmm australia pty ltd",3
"blue gum clothing co. pty. ltd.",3
"vits languagelink",50
"intoprint pty. ltd.",11
"specialty packaging group pty ltd",53
"mttp nominees pty ltd",9
"randstad executive pty ltd",30
"software improvements pty ltd",30
"peter, richard henry",1
"colourprint australia pty. ltd.",4
"the temora dell unit trust",2
"megara (australia pty. ltd.",20
"fresh & green (aust pty ltd",1
"formach pty. limited",5
"abacus rent it pty ltd",2
"j.s. mcmillan pty ltd",30
"crs australia",185
"sg2208 pty ltd",65
"embury, brian leonard",4
"the camerons group",80
"pmp limited",7
"d parker & m.a parker",7
"varkon office solutions pty ltd",2
"ex-government furniture pty limited",5
"the trustee for the bmf unit trust",135
"sturdy components pty ltd",791
"murchie constructions pty. ltd",1
"haystac public affairs pty. ltd.",92
"jr global logistics pty limited",37
"consolidated plastics (aust pty. ltd.",3
"datamonitor pty limited",28
"design anytime pty ltd",2
"juniperberry pty ltd & ophset pty ltd",13
"exhibition park in canberra",9
"forster elder family trust",79
"origin communications pty ltd",21
"fraser and jenkinson proprietary limited",34
"tnt australia pty ltd",681
"abcorp australasia pty ltd",124
"sep sprint (australia pty ltd",3
"anabelle bits pty ltd",309
"safenet australia pty limited",20
"macquarie telecom pty limited",332
"the trustee for roar momentum unit trust",5
"australian handsets pty ltd",5
"gormans (rpton pty ltd",8
"wilson parking australia 1992 pty ltd",119
"dawson, andrea stachia",1
"valiant commercial furniture pty limited",87
"regus parramatta pty ltd",1
"pitney bowes australia pty limited",78
"kletan pty. limited",2
"multimap.com pty ltd",2
"a.c.n. 123 015 047 pty limited",31
"cca software pty ltd",31
"envotec pty ltd",145
"marrs management pty ltd",1
"fuji xerox document management solutions pty. limited",55
"garry nash estate agency trust",1
"southern cross care (vic",1
"a.c.n. 003 664 426 pty limited",8
"src solutions pty ltd",123
"britz transport consultants pty. limited",2
"metrostate security courier pty. limited",49
"ernst & young",1904
"dxc technology australia pty limited",861
"perpetro pty limited",27
"austroads ltd",18
"zipform pty ltd",4
"courier australia group pty ltd",10
"dept of justice",32
"business information services (nsw pty. limited",39
"ross human directions limited",1042
"rochow, michael peter",3
"jones lang lasalle (wa pty limited",10
"the trustee for jewl trust",1
"toll ipec pty ltd",53
"tcb transport pty ltd",5
"department of human services trading as centrelink",189
"spotless facility services pty ltd",5636
"memocorp australia pty ltd",16
"bell personnel pty ltd",1
"johnson & kennedy pty ltd",5
"cushman & wakefield agency (vic pty ltd",1
"west wing aviation pty ltd",14
"vision australia limited",156
"kelly outsourcing and consulting group australia, ltd.",625
"jones lang lasalle (act integrated pty limited",8
"psi commercial assessments pty ltd",1
"sydney night patrol & inquiry co pty ltd",129
"dr. daniel p. bevz pty. ltd.",1
"joseph louis realty pty ltd",1
"j.doolan proprietary limited",7
"avalon west pty ltd",1
"net optics apac pty ltd",2
"j.f castle & b gavin",1
"a.c.n. 096 088 854 pty ltd",101
"libra real estate pty. ltd.",1
"giannarelli management services pty ltd",1
"bgis pty ltd",284
"the trustee for windsor hotel unit trust",16
"the royal national agricultural & industrial association of queensland",4
"dintlawn pty ltd",3
"the trustee for pt discretionary trust",6
"a.n.z. cleaning services pty. ltd.",2
"cbre (a pty limited",7
"therese laanela",2
"goudie, yvonne ",1
"pmp print pty ltd",48
"vicinity real estate licence pty ltd",18
"antivirus australia pty ltd",7
"qx australia pty limited",1
"mcarthur (vic pty ltd",373
"happy valley winery pty. ltd.",1
"the trustee for dnre hybrid unit trust",1
"great southern communications australia pty. ltd.",60
"iken commercial interiors pty ltd",93
"mcarthur (qld pty ltd",379
"american express international inc",62
"swell design group pty. limited.",218
"locher & associates pty ltd",12
"o'connor, donald francis",2
"preemptive consulting pty ltd",77
"the trustee for a c g unit trust",15
"eastgardens pty ltd",4
"lane laser printers pty. ltd.",29
"savills (qld pty limited",1
"australian electoral commission",17
"department of housing and public works - goprint",2
"peacock amber pty. ltd.",1
"cbre (v pty limited",63
"the trustee for grandsurf holdings trust",1
"lommers, john philip steven",1
"international psychological services pty limited",57
"turner, robert john",2
"communication services australia pty limited",88
"the trustee for giri family trust",1
"c.a duce & t.j duce",2
"cudex pty ltd",59
"g t graphics unit trust",1
"bendigo diocesan trusts corporation",1
"w. herrmann real estate pty. ltd.",4
"clinical laboratories pty ltd",2
